Free Function Name,Free Function Stereotype
"checkBounds","unclassified"
"magicToApi","property wrapper"
"apiToMagic","property"
"writeSignedIntegralValue","wrapper"
"writeUnsignedIntegralValue","wrapper"
"writeRightZeroExtendedValue","wrapper"
"readSignedInt","property wrapper"
"readUnsignedInt","property wrapper"
"readSignedLong","property wrapper"
"readUnsignedLong","property wrapper"
"unsignedLeb128Size","property"
"unsignedLeb128p1Size","literal wrapper"
"signedLeb128Size","property"
"readSignedLeb128","property wrapper"
"readUnsignedLeb128","property wrapper"
"readUnsignedLeb128p1","literal wrapper"
"writeUnsignedLeb128","property wrapper"
"writeUnsignedLeb128p1","literal wrapper"
"writeSignedLeb128","property wrapper"
"decode","property command"
"countBytes","property wrapper"
"encode","command"
"encode","literal wrapper"
"roundToTimesOfFour","property"
"uCompare","property"
"uCompare","property"
"uCompare","property"
"uArrCompare","property wrapper"
"uArrCompare","property wrapper"
"uArrCompare","property wrapper"
"sCompare","property"
"sCompare","property"
"sCompare","property"
"sCompare","property"
"sArrCompare","property wrapper"
"sArrCompare","property wrapper"
"sArrCompare","property wrapper"
"sArrCompare","property wrapper"
"aArrCompare","property wrapper"
"aArrCompare","property wrapper"
"readFile","literal wrapper"
"readFile","property wrapper"
"readStream","literal wrapper"
"readStream","property wrapper"
"hasArchiveSuffix","predicate wrapper"
"hash","property wrapper"
"codeUnit","property"
"codeUnit","property"
"makeByte","property"
"asUnsignedUnit","property"
"unit0","property"
"unit1","property"
"unit0","property"
"unit1","property"
"unit2","property"
"unit3","property"
"byte0","property"
"byte1","property"
"nibble0","property"
"nibble1","property"
"nibble2","property"
"nibble3","property"
"getTargetByte","literal wrapper"
"getTargetUnit","literal wrapper"
"getTarget","property"
"getLiteralByte","property wrapper"
"getLiteralUnit","property wrapper"
"getLiteralInt","property wrapper"
"getLiteralNibble","property wrapper"
"getAUnit","property wrapper"
"getBUnit","property wrapper"
"getInstructionIndexType","property"
"getInstructionFormat","property"
"extractOpcodeFromUnit","property"
"u8","property wrapper"
"u4","property wrapper"
"u3","property wrapper"
"u2","property wrapper"
"u2or4","property wrapper"
"u1","property wrapper"
"uNibble","literal wrapper"
"s8","property wrapper"
"s4","property wrapper"
"s2","property wrapper"
"s1","property wrapper"
"dump","property wrapper"
"toHexString","property wrapper"
"growSize","property"
"growSize","property"
"split","global-command"
"qsufsort","command"
"search","property command"
"matchlen","property wrapper"
"memcmp","property"
"bsdiff","wrapper"
"bsdiff","property wrapper"
"bsdiff","property wrapper"
"main","main"
"patchLessMemory","property wrapper"
"patchLessMemory","property wrapper"
"patchFast","property wrapper"
"patchFast","property wrapper"
"patchFast","property wrapper"
"patchFast","property wrapper"
"patchFast","property wrapper"
"readFromStream","predicate wrapper"
"inputStreamToByte","property wrapper"
"checkOffsetAndCount","unclassified"
"iterator","literal"
"peekInt","unclassified"
"peekLong","property"
"peekShort","property"
"pokeInt","command"
"pokeLong","command"
"pokeShort","command"
"readSingleByte","property wrapper"
"writeSingleByte","wrapper"
"readFully","literal wrapper"
"readFully","wrapper"
"readFully","property wrapper"
"readFullyNoClose","property wrapper"
"readFully","property wrapper"
"skipAll","wrapper"
"skipByReading","property wrapper"
"copy","property wrapper"
"readAsciiLine","property wrapper"
"containsNulByte","predicate"
"validateStringLength","wrapper"
"isEmpty","predicate wrapper"
"equals","predicate wrapper"
"parseEocdRecord","property wrapper"
"throwZipException","literal wrapper"
"writeLongAsUint32","wrapper"
"writeLongAsUint64","wrapper"
"writeIntAsUint16","wrapper"
"extractTinkerEntry","wrapper"
"extractLargeModifyFile","wrapper"
"validateZipEntryName","predicate wrapper"
"loadArmLibrary","wrapper"
"loadArmLibraryWithoutTinkerInstalled","wrapper"
"loadArmV7Library","wrapper"
"loadArmV7LibraryWithoutTinkerInstalled","wrapper"
"loadLibraryFromTinker","literal"
"installNavitveLibraryABI","literal"
"installNativeLibraryABIWithoutTinkerInstalled","literal"
"runResultService","literal wrapper"
"with","global-command literal wrapper"
"create","global-command"
"isTinkerInstalled","literal"
