,void-accessor controller,set collaborator,predicate set collaborator,property,property non-void-command factory collaborator,factory incidental,property command factory collaborator,get predicate controller,get set factory collaborator,property wrapper,constructor,get set factory,property non-void-command factory,get property,predicate non-void-command collaborator,get property factory wrapper,property set factory,predicate wrapper,get factory collaborator,wrapper stateless,get factory controller,void-accessor command,get predicate set,factory collaborator,get non-void-command collaborator,set factory,stateless,copy-constructor,get non-void-command,get set collaborator,command,property factory collaborator,incidental,predicate collaborator,destructor,property set collaborator,property factory wrapper,property set factory collaborator,non-void-command factory collaborator,get property set factory collaborator,get predicate set collaborator,void-accessor,predicate non-void-command,get property controller,property collaborator,get void-accessor collaborator,get non-void-command factory collaborator,property set,wrapper,collaborator stateless,get factory,unclassified,get predicate collaborator,factory controller stateless,factory wrapper stateless,get property factory collaborator,get void-accessor command collaborator,set factory collaborator,get predicate wrapper,get wrapper,get controller,get property non-void-command factory,void-accessor set collaborator,get predicate non-void-command,command collaborator,command empty,void-accessor command collaborator,get command collaborator,property non-void-command,get factory wrapper,get predicate non-void-command collaborator,get property command collaborator,get,get void-accessor controller,property factory,get collaborator,controller stateless,get predicate,factory collaborator stateless,get property collaborator,get property non-void-command,get property wrapper,void-accessor set,factory controller,property controller,get command,get property set,void-accessor wrapper,property factory controller,void-accessor collaborator,get property set collaborator,collaborator incidental,get property factory,get property factory controller,set,get property set factory,collaborator,get property non-void-command collaborator,get void-accessor,non-void-command,non-void-command collaborator,property non-void-command collaborator,get property non-void-command factory collaborator,predicate set,get non-void-command factory,property command collaborator,empty,predicate,controller,factory stateless,non-void-command factory,predicate controller,factory,get set,factory wrapper,factory collaborator incidental
recastnavigation (C++),0,40,6,51,1,0,0,0,0,41,256,0,0,2,16,0,0,24,0,69,0,5,0,0,18,0,0,23,8,8,130,0,42,20,88,13,0,0,0,0,0,2,22,0,127,0,0,0,28,0,0,22,0,0,0,0,0,0,0,7,1,0,0,0,158,0,4,0,8,0,0,0,87,0,0,92,19,0,0,3,0,0,0,0,14,0,0,1,0,3,0,27,0,0,52,0,20,0,0,0,2,41,0,5,0,0,92,47,28,0,0,5,0,6,0,0
sentencepiece (C++),2,27,1,115,3,0,0,0,0,32,209,0,0,2,48,0,0,10,0,218,0,1,0,0,27,0,0,29,6,13,92,0,34,34,106,13,0,0,0,0,0,1,37,0,187,0,0,2,21,0,0,8,0,2,0,0,0,0,0,9,0,0,1,0,146,0,3,0,17,0,0,0,51,0,0,97,74,0,0,7,1,5,0,0,9,0,0,0,0,1,0,39,0,0,63,0,4,8,0,0,5,216,0,5,0,11,8,73,4,0,0,3,0,9,1,2
spdlog (C++),0,47,0,3,0,0,0,0,0,32,175,0,0,0,2,0,0,0,0,18,0,1,0,0,7,0,0,21,2,6,26,0,1,2,18,10,0,0,0,0,0,0,0,0,72,0,0,1,32,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,81,0,3,0,1,0,0,0,7,0,0,54,30,0,0,0,0,0,0,0,14,0,0,0,0,0,1,32,0,0,14,0,1,0,0,0,118,44,0,0,0,0,94,5,33,0,0,0,0,0,0,0
libco (C++),0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-Plus-Plus (C++),0,11,2,35,3,0,0,0,0,7,76,0,0,4,25,0,0,1,0,5,0,3,0,0,10,0,0,13,22,13,54,0,10,7,7,1,0,0,0,0,0,0,9,0,13,0,0,0,7,0,0,14,2,1,1,0,0,0,0,0,3,0,2,2,39,0,5,0,42,0,0,0,32,0,0,9,20,0,2,0,4,1,0,0,9,0,1,0,0,0,0,19,0,0,15,0,3,4,0,0,0,34,0,0,0,0,0,30,3,0,0,3,0,11,0,0
Magisk (C++),0,3,2,4,2,0,0,0,0,12,83,0,0,0,11,0,0,5,0,14,0,0,0,0,1,0,0,3,1,1,36,0,13,1,18,1,0,0,0,0,0,0,17,0,5,0,0,1,14,0,0,4,0,1,2,0,0,0,0,2,0,0,0,0,15,0,0,0,5,0,0,0,6,0,0,6,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,9,0,0,0,0,1,0,13,0,3,0,0,5,14,4,0,0,2,0,0,0,0
devilutionX (C++),0,23,6,52,0,0,0,0,0,120,202,0,0,2,31,0,0,36,0,48,0,1,0,0,18,0,0,21,6,1,85,1,15,19,18,11,0,0,0,0,0,0,27,1,119,0,0,3,22,0,0,6,1,0,0,0,0,0,0,6,2,0,1,2,75,0,3,0,8,0,0,0,38,0,0,54,23,1,0,3,0,6,0,0,25,0,0,2,0,2,1,25,0,0,42,0,6,2,0,0,5,69,0,1,0,0,9,72,10,0,0,11,0,6,0,0
uWebSockets.js (C++),0,0,0,2,0,0,0,0,0,5,9,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FastLED (C++),1,12,0,5,0,0,0,0,0,23,81,0,0,0,0,0,0,0,0,19,0,3,0,0,29,0,0,8,4,16,65,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,46,0,0,0,15,0,0,0,8,0,0,8,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,1,6,5,0,0,0,0,24,12,0,0,0,0,0,1,0,0
devilution (C++),0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
