,entity minimal-entity data-provider boundary,entity boundary,commander boundary degenerate,controller lazy-class data-class small-class,entity commander boundary,data-provider lazy-class degenerate,commander boundary data-class,large-class degenerate,minimal-entity boundary,lazy-class,pure-controller degenerate,entity data-provider boundary lazy-class,commander,data-provider degenerate,entity data-provider boundary,entity boundary small-class,data-provider,entity commander boundary lazy-class,data-provider boundary data-class,boundary small-class,factory pure-controller,entity data-provider data-class small-class,controller data-class small-class,boundary lazy-class data-class,commander data-class,entity data-provider boundary lazy-class degenerate,controller small-class,entity degenerate,entity small-class,data-class small-class,factory degenerate,data-provider small-class,data-provider lazy-class small-class,large-class lazy-class degenerate,boundary controller degenerate,pure-controller degenerate small-class,entity,factory controller degenerate,lazy-class data-class small-class,entity lazy-class degenerate,lazy-class degenerate,boundary controller lazy-class degenerate,commander boundary lazy-class degenerate,boundary large-class degenerate,commander boundary lazy-class,controller lazy-class small-class,controller lazy-class degenerate,commander boundary small-class,entity minimal-entity,boundary large-class,entity data-provider small-class,commander boundary data-class small-class,boundary data-class,entity factory controller small-class,minimal-entity lazy-class,controller data-class,data-provider lazy-class,data-provider boundary degenerate,entity lazy-class small-class,unclassified,factory controller lazy-class degenerate,entity lazy-class,commander degenerate,pure-controller,factory pure-controller degenerate,entity data-class small-class,controller lazy-class,commander lazy-class small-class,entity minimal-entity lazy-class,degenerate,data-provider boundary lazy-class small-class,entity data-class,entity factory controller,factory controller data-class small-class,minimal-entity data-provider boundary,entity boundary data-class,entity factory controller lazy-class degenerate,entity factory controller data-class,factory degenerate small-class,boundary data-class small-class,data-provider boundary lazy-class,factory controller lazy-class data-class small-class,data-provider data-class,commander boundary,entity boundary data-class small-class,boundary controller,factory pure-controller degenerate small-class,entity boundary degenerate,factory controller lazy-class,boundary lazy-class,minimal-entity boundary lazy-class,entity boundary lazy-class,entity factory controller degenerate,controller degenerate,entity boundary lazy-class small-class,data-provider boundary data-class small-class,factory controller,boundary lazy-class data-class small-class,commander boundary large-class,entity data-provider boundary degenerate,factory small-class,entity minimal-entity commander boundary,entity minimal-entity factory controller,entity data-provider,entity factory controller data-class small-class,minimal-entity commander boundary,lazy-class data-class,boundary lazy-class small-class,pure-controller small-class,lazy-class small-class,data-provider data-class small-class,boundary degenerate,entity data-provider boundary data-class,minimal-entity controller,data-provider boundary small-class,entity commander boundary degenerate,minimal-entity,boundary degenerate small-class,entity data-provider boundary small-class,factory pure-controller small-class,boundary,minimal-entity factory controller,empty,minimal-entity data-provider,boundary large-class lazy-class degenerate,commander boundary lazy-class small-class,small-class,data-provider boundary lazy-class degenerate,controller,entity minimal-entity boundary lazy-class,data-provider boundary,entity data-provider boundary data-class small-class,entity commander boundary lazy-class degenerate,factory controller data-class,boundary lazy-class degenerate,entity boundary lazy-class degenerate,entity minimal-entity boundary,entity data-provider factory controller data-class,commander small-class,factory controller small-class,commander lazy-class degenerate,data-provider boundary large-class,data-class,factory,factory controller lazy-class small-class,large-class,commander data-class small-class,degenerate small-class,commander lazy-class
Templates (C#),0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0,1,0,0,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eShop (C#),0,21,2,0,4,0,0,0,1,0,6,0,4,0,1,15,0,0,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,4,0,0,13,0,0,5,0,135,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,9,0
copy-dialog-lunar-lander (C#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
luban (C#),0,8,3,0,3,0,0,0,0,0,6,0,2,0,2,3,1,0,0,1,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,0,0,0,15,0,0,1,2,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,37,0,0,2,0,0,17,0,0,8,0,127,0,0,0,16,0,35,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,9,0
Open-XML-SDK (C#),0,136,8,0,106,0,0,0,0,0,9,0,7,0,1,1947,2,0,0,2,0,0,0,0,0,0,3,0,52,1,0,1,1,0,0,33,7,0,0,0,0,0,0,0,0,0,0,1152,0,0,0,0,1,4,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,27,2,0,0,0,0,0,0,0,2,2,0,0,0,24,2,0,1,0,0,37,1,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,14,0,1,16,0,0,7,0,0,7,0,0,68,0,235,0,0,0,247,0,2,0,0,0,0,0,8,0,3,0,5,13,0,0,0,0,0,0,1,6,1
SteamAchievementManager (C#),0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0
winsw (C#),0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mirror (C#),0,9,11,0,6,0,0,0,0,0,6,0,114,0,1,4,2,0,0,5,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,2,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,42,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,0,0,1,0,0,27,0,0,15,0,305,0,0,0,96,0,0,0,1,0,0,0,0,0,1,0,40,1,0,0,0,0,0,0,16,118,0
ArchiSteamFarm (C#),0,7,0,0,4,0,0,0,0,0,1,0,6,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,3,0,0,8,0,0,3,0,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
websocket-sharp (C#),0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,12,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
CleanArchitecture (C#),0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
SharpZipLib (C#),0,2,1,0,2,0,0,0,0,1,2,0,16,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,2,0,0,6,0,44,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,2,3,0,0,4,0,0,0,0,1,0
MediatR (C#),0,2,0,0,0,0,0,0,0,0,5,0,4,0,0,19,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,8,0,0,1,0,70,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NETworkManager (C#),0,2,0,0,3,0,0,0,0,0,0,0,88,0,0,3,0,0,0,4,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,4,0,0,17,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,31,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,105,0,0,2,0,143,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,9,13,3
CreamInstaller (C#),0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remotely (C#),0,19,0,0,11,0,0,0,0,0,27,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,3,0,117,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0
runner (C#),0,49,0,0,15,0,0,0,0,1,4,0,15,0,3,23,7,0,0,4,0,0,0,0,0,0,6,0,2,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0,0,1,2,0,0,0,0,0,33,0,0,1,2,0,0,0,0,0,14,0,1,1,2,0,0,0,0,5,2,0,0,1,34,1,0,0,2,0,3,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,3,0,0,15,0,0,38,0,508,0,0,0,18,0,5,0,6,0,0,0,0,0,3,0,8,18,0,0,4,0,0,0,2,6,0
Scrutor (C#),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unigram (C#),0,109,17,0,101,2,1,0,1,1,0,0,45,1,9,17,3,1,3,8,0,0,0,0,0,0,7,0,6,0,0,3,1,0,0,11,0,1,1,0,4,0,4,0,4,1,0,33,1,0,0,3,2,2,0,0,0,1,0,33,0,0,5,0,0,0,0,2,0,45,0,0,0,2,0,0,0,0,2,8,1,0,0,183,7,0,1,22,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6,69,0,0,16,0,0,73,1,0,58,0,499,0,0,0,22,1,5,0,12,0,0,0,9,0,12,0,15,9,3,0,1,0,0,0,4,34,1
sharpkeys (C#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OrchardCore (C#),0,223,2,0,28,0,1,0,2,0,22,0,9,0,4,365,0,0,0,14,0,0,0,1,0,0,62,0,16,3,1,3,0,0,0,267,3,0,0,0,0,0,0,2,0,0,1,210,0,0,0,6,0,56,0,0,0,1,0,30,0,0,1,2,0,1,0,2,0,22,0,1,3,1,0,1,0,0,17,12,0,0,0,35,2,0,26,38,0,0,0,1,0,1,0,8,4,0,0,0,0,0,0,0,1,1,0,0,25,2,4,25,0,0,40,0,1,130,0,1,56,0,2063,0,0,0,89,0,6,2,3,0,0,0,1,0,2,0,8,33,0,0,0,0,1,0,1,32,0
npoi (C#),0,93,5,0,19,7,0,2,85,107,71,0,75,0,9,22,116,0,6,17,0,0,1,1,0,0,15,1,18,31,1,16,6,0,0,106,4,2,0,0,29,0,0,0,1,0,2,41,0,0,0,0,91,7,0,0,17,0,0,800,1,0,3,7,0,0,0,0,0,96,8,0,2,0,0,0,0,0,26,71,0,0,6,74,1,0,16,5,0,54,0,0,2,29,0,13,0,0,0,0,0,3,0,0,0,1,0,0,21,0,36,55,0,0,5,0,0,155,0,0,476,0,512,0,0,0,91,0,10,0,48,0,0,0,8,0,9,0,18,7,0,0,122,0,0,0,2,67,0
ExcelDataReader (C#),0,8,0,0,2,1,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,6,0,76,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,1,0
Hangfire (C#),0,13,0,0,21,0,0,0,0,0,1,0,8,0,0,33,0,0,0,1,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,13,3,0,0,0,0,0,0,0,1,0,0,36,0,0,0,1,4,2,0,0,0,0,0,14,0,0,0,1,0,0,0,1,0,12,0,0,1,0,0,0,0,0,4,1,0,0,0,31,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,0,0,3,0,0,15,0,0,17,0,155,0,0,1,7,0,3,0,0,0,0,0,1,0,1,0,5,10,0,0,1,0,0,0,1,3,0
Newtonsoft.Json (C#),0,30,4,0,2,3,5,0,1,5,16,0,9,0,4,20,0,0,0,2,0,0,0,0,0,1,5,0,1,11,0,7,1,0,0,83,0,1,0,0,2,0,0,0,0,0,0,4,1,0,0,1,3,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2,0,81,0,0,1,0,0,2,0,0,3,5,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,1,0,3,0,12,51,0,0,7,0,0,121,0,0,22,0,492,0,0,0,19,1,1,0,5,0,0,0,0,0,2,0,1,4,2,0,5,0,0,0,2,25,0
