Free Function Name,Free Function Stereotype
"props","literal wrapper"
"props","literal wrapper"
"props","literal wrapper"
"setup","global-command literal wrapper"
"teardown","global-command literal wrapper"
"props","literal wrapper"
"main","main"
"main","main"
"simulateAnnealing","property wrapper"
"getFitness","property wrapper"
"main","main"
"random","literal wrapper"
"toSum","global-command literal wrapper"
"eval","property wrapper"
"main","main"
"main","main"
"of","property wrapper"
"main","main"
"matrix","property wrapper"
"chord","property wrapper"
"dist","literal wrapper"
"main","main"
"main","main"
"printEachStep","wrapper"
"getPossibleStates","literal wrapper"
"main","main"
"costOfSubstitution","property"
"min","literal wrapper"
"calculate","property wrapper"
"calculate","property wrapper"
"calculateShortestPathFromSource","wrapper"
"CalculateMinimumDistance","wrapper"
"getLowestDistanceNode","property wrapper"
"detectCycle","property"
"detectCycle","property"
"detectCycle","property wrapper"
"detectAndRemoveCycle","literal wrapper"
"removeCycle","wrapper"
"isNodeReachableFromLoopNode","predicate"
"findEndNodeAndBreakCycle","unclassified"
"detectAndRemoveCycle","literal wrapper"
"removeCycle","wrapper"
"calculateCycleLength","property"
"detectAndRemoveCycle","literal wrapper"
"removeCycle","unclassified"
"createNewNode","property"
"traverseList","unclassified"
"getTail","property"
"main","main"
"execute","literal wrapper"
"bfs","wrapper"
"dfs","wrapper"
"getMoneyIntoWords","literal wrapper"
"getMoneyIntoWords","property wrapper"
"convert","property wrapper"
"initializeData","property wrapper"
"slopeOne","global-command literal wrapper"
"buildDifferencesMatrix","wrapper"
"predict","wrapper"
"printData","wrapper"
"print","wrapper"
"main","main"
"printSolution","wrapper"
"main","main"
"provideArguments","literal wrapper"
"getLists","literal wrapper"
"createList","literal wrapper"
"createListWithLoop","literal wrapper"
"createListWithFullCycle","literal wrapper"
"createListWithSingleNodeInCycle","literal wrapper"
"createLoop","wrapper"
"checkIfSortedUsingIterativeApproach","predicate wrapper"
"checkIfSortedUsingIterativeApproach","predicate wrapper"
"checkIfSortedUsingRecursion","predicate wrapper"
"isSortedRecursive","predicate wrapper"
"checkIfSortedUsingOrderingClass","literal wrapper"
"checkIfSortedUsingOrderingClass","literal wrapper"
"checkIfSortedUsingOrderingClassHandlingNull","literal wrapper"
"checkIfSortedUsingComparators","literal wrapper"
"sse","property wrapper"
"fit","property wrapper"
"relocateCentroids","property wrapper"
"average","property wrapper"
"assignToCluster","global-command wrapper"
"nearestCentroid","property wrapper"
"randomCentroids","property wrapper"
"applyPreconditions","wrapper"
"main","main"
"convertToD3CompatibleMap","property wrapper"
"dominantGenre","property wrapper"
"sortedCentroid","property wrapper"
"datasetWithTaggedArtists","property wrapper"
"getTop100Tags","literal wrapper"
"getTop100Artists","literal wrapper"
"printARightTriangle","property wrapper"
"printAnIsoscelesTriangle","property wrapper"
"printAnIsoscelesTriangleUsingStringUtils","property wrapper"
"printAnIsoscelesTriangleUsingSubstring","property wrapper"
"main","main"
"romanToArabic","property wrapper"
"arabicToRoman","property wrapper"
"getReverseSortedValues","literal wrapper"
"main","main"
"factorial","property wrapper"
"rightTriangles","literal wrapper"
"isoscelesTriangles","literal wrapper"
"createNodesList","property wrapper"
"main","main"
"counterWithWrapperObject","wrapper"
"counterWithLambdaAndWrapper","literal wrapper"
"counterWithParallelStreamAndWrapper","literal wrapper"
"counterWithMutableInteger","wrapper"
"counterWithPrimitiveArray","wrapper"
"findMiddleElementLinkedList","property wrapper"
"findMiddleElementFromHead","property wrapper"
"findMiddleElementFromHead1PassRecursively","property wrapper"
"findMiddleRecursively","command"
"findMiddleElementFromHead1PassIteratively","property wrapper"
"printAllRecursive","literal wrapper"
"printAllRecursive","wrapper"
"printAllIterative","wrapper"
"printAllOrdered","wrapper"
"printRandom","literal wrapper"
"swap","command"
"printArray","unclassified"
"main","main"
"searchInSortedArray","property"
"searchInUnsortedArraySortingFirst","literal wrapper"
"searchInUnsortedArrayBooleanArray","property"
"checkStringForAllTheLetters","predicate wrapper"
"checkStringForAllLetterUsingStream","predicate wrapper"
"main","main"
"getUniqueCharacterSubstringBruteForce","property wrapper"
"getUniqueCharacterSubstring","property wrapper"
"main","main"
"toCharacterList","property wrapper"
"toString","property wrapper"
"createLinkedList","property wrapper"
"createNodesList","property wrapper"
"stringProvider","literal wrapper"
"isBalanced","literal wrapper"
"isBalancedRecursive","property wrapper"
"calculateBinaryGap","literal wrapper"
"calculateBinaryGap","property wrapper"
"permutations","literal wrapper"
"permutationsInternal","wrapper"
"combinations","literal wrapper"
"combinationsInternal","wrapper"
"powerSet","literal wrapper"
"powerSetInternal","wrapper"
"merge","property"
"iterativeRelativelyPrime","literal wrapper"
"recursiveRelativelyPrime","literal wrapper"
"bigIntegerRelativelyPrime","literal wrapper"
"iterativeGCD","unclassified"
"recursiveGCD","property wrapper"
"balancedTrees","literal wrapper"
"unbalancedTrees","literal wrapper"
"leaf","literal"
"tree","literal"
"createGraph","literal wrapper"
"merge","property wrapper"
"transpose","property"
"reverse","property"
"main","main"
"printBoard","wrapper"
"findByHashMapAndPriorityQueue","property wrapper"
"findByStream","literal wrapper"
"findByTreeMap","property wrapper"
"findByBucketSort","property wrapper"
"calculateDistance","literal wrapper"
"calculateDistance","property wrapper"
"haversine","literal wrapper"
"calculateDistance","literal wrapper"
"checkLuhn","predicate wrapper"
"doubleAndSumDigits","property"
"isPerfectBruteForce","predicate"
"isPerfectStream","predicate wrapper"
"isPerfectEuclidEuler","predicate wrapper"
"isPerfectEuclidEulerUsingShift","predicate"
"main","main"
"get2DPixelArraySlow","property wrapper"
"get2DPixelArrayFast","property wrapper"
"findByBruteForce","property wrapper"
"isPrime","predicate wrapper"
"findBySieveOfEratosthenes","property wrapper"
"bruteForce","command"
"withExtraArray","wrapper"
"cyclicReplacement","command"
"reverse","wrapper"
"reverse","command"
"checkInvalidInput","unclassified"
"doubledOriginContainsRotation","predicate wrapper"
"isRotationUsingCommonStartWithOrigin","predicate wrapper"
"isRotation","predicate wrapper"
"isRotationUsingQueue","predicate wrapper"
"checkWithQueue","predicate wrapper"
"getCharactersQueue","property wrapper"
"isRotationUsingSuffixAndPrefix","predicate wrapper"
"checkPrefixAndSuffix","predicate wrapper"
"checkRotationPrefixWithOriginSuffix","predicate wrapper"
"checkOriginPrefixWithRotationSuffix","predicate wrapper"
"countWithSet","property wrapper"
"countWithBitManipulation","property wrapper"
"countWithStreamApi","literal wrapper"
"findLargestNumberUsingArithmetic","wrapper"
"findLargestNumberUsingStack","property wrapper"
"isHappyNumber","predicate wrapper"
"isHappyNumberFloyd","predicate wrapper"
"sumDigitsSquare","property"
"byLoop","property wrapper"
"byRecursion","property wrapper"
"fillSeqRecursively","wrapper"
"isPermutationWithSorting","predicate wrapper"
"isPermutationWithOneCounter","predicate wrapper"
"isPermutationWithTwoCounters","predicate wrapper"
"isPermutationWithMap","predicate wrapper"
"isPermutationInclusion","predicate wrapper"
"search","literal wrapper"
"search","literal wrapper"
"of","literal"
"findFirstNonRepeatingUsingForLoop","property wrapper"
"findFirstNonRepeatedElementUsingIndex","property wrapper"
"findFirstNonRepeatingUsingHashMap","property wrapper"
"findFirstNonRepeatingUsingArray","property wrapper"
"interpolationSearch","property"
"findKthSmallestElement","property command"
"kthSmallesElementFound","predicate"
"checkInput","unclassified"
"getKthElementSorted","property wrapper"
"getKthElementMerge","property wrapper"
"uctValue","property wrapper"
"findBestNodeWithUCT","property wrapper"
"getBiggerPrime","literal wrapper"
"getLowerPrime","literal wrapper"
"getNumberOfBits","literal wrapper"
"getNumberOfBits","literal wrapper"
"simpleTextSearch","property"
"RabinKarpMethod","property wrapper"
"KnuthMorrisPrattSearch","property wrapper"
"KnuthMorrisPrattShift","property wrapper"
"BoyerMooreHorspoolSimpleSearch","property"
"BoyerMooreHorspoolSearch","property global-command"
"setUp","global-command literal wrapper"
"setUp","global-command literal wrapper"
"printTree","literal wrapper"
"createNaturalOrderRegexComparator","literal wrapper"
"parseStringToNumber","property wrapper"
"findMax","property"
"setupAbacus","predicate"
"dropBeads","command"
"transformToList","command"
"sort","literal wrapper"
"reverseInPlace","global-command literal"
"reverseOutOfPlace","literal"
"partition","property wrapper"
"quicksort","wrapper"
"partition","property wrapper"
"quicksort","wrapper"
"swap","command"
"compare","property"
"printArray","unclassified"
"isValid","predicate wrapper"
"sort","literal wrapper"
"prepare","property wrapper"
"hash","property"
"sort","property wrapper"
"countElements","property wrapper"
"verifyPreconditions","wrapper"
"sort","literal wrapper"
"of","literal wrapper"
"of","property wrapper"
"insertionSortImperative","command"
"insertionSortRecursive","literal wrapper"
"insertionSortRecursive","command"
"main","main"
"mergeSort","wrapper"
"merge","command"
"quickSort","wrapper"
"partition","property global-command"
"threeWayQuickSort","command"
"sort","literal wrapper"
"applyCountingSortOn","wrapper"
"calculateNumberOfDigitsIn","literal wrapper"
"findMaximumNumberIn","literal wrapper"
"sortAscending","command"
"sortDescending","command"
"sort","global-command literal"
"main","main"
"main","main"
"createClient","global-command literal wrapper"
"closeClient","literal wrapper"
"main","main"
"main","main"
"setViaSocketFactory","literal wrapper"
"setTlsVersionPerConnection","literal wrapper"
"setViaSystemProperties","literal wrapper"
"main","main"
"setup","global-command literal wrapper"
"tearDown","literal wrapper"
"closeClient","wrapper"
"startServer","global-command literal wrapper"
"stopServer","literal wrapper"
"mockGetRequest","literal wrapper"
"getFreePort","literal wrapper"
"startServer","global-command literal wrapper"
"stopServer","literal wrapper"
"mockGetRequest","literal wrapper"
"getFreePort","literal wrapper"
"closeResponse","wrapper"
"setViaSocketFactory","literal wrapper"
"setTlsVersionPerConnection","literal wrapper"
"setViaSystemProperties","literal wrapper"
"main","main"
"startServer","global-command literal wrapper"
"stopServer","literal wrapper"
"mockGetRequest","literal wrapper"
"getFreePort","literal wrapper"
"closeClient","wrapper"
"closeResponse","wrapper"
"main","main"
"main","main"
"consumeFromBeginning","literal wrapper"
"publishMessages","literal wrapper"
"setup","global-command literal wrapper"
"defaultKafkaConsumer","literal wrapper"
"main","main"
"createConsumer","literal wrapper"
"main","main"
"consumeMessageWithCustomHeaders","literal wrapper"
"publishMessageWithCustomHeaders","literal wrapper"
"setup","global-command literal wrapper"
"main","main"
"consumeMessages","literal wrapper"
"publishMessagesWithKey","literal wrapper"
"publishMessagesWithoutKey","literal wrapper"
"setup","global-command literal wrapper"
"setup","global-command literal wrapper"
"publishMessages","literal wrapper"
"destroy","literal wrapper"
"testKafkaProducer","literal wrapper"
"commonConsumerProperties","literal wrapper"
"testKafkaProducer","literal wrapper"
"sleep","literal wrapper"
"setup","global-command literal wrapper"
"destroy","literal wrapper"
"setup","global-command literal wrapper"
"destroy","literal wrapper"
"setup","global-command literal wrapper"
"destroy","literal wrapper"
"processBuffer","wrapper"
"setup","global-command literal wrapper"
"destroy","literal wrapper"
"setup","global-command literal wrapper"
"destroy","literal wrapper"
"setup","global-command literal wrapper"
"destroy","literal wrapper"
"getProducerProperties","literal wrapper"
"getConsumerProperties","literal wrapper"
"main","main"
"main","main"
"main","main"
"main","main"
"getProperties","literal wrapper"
"getTopic","literal wrapper"
"setup","global-command literal wrapper"
"destroy","literal wrapper"
"setup","global-command literal wrapper"
"destroy","literal wrapper"
"capitalize","literal wrapper"
"createBackup","literal wrapper"
"main","main"
"createStringConsumerForTopic","literal wrapper"
"createInputMessageConsumer","literal wrapper"
"createStringProducer","literal"
"createBackupProducer","literal"
"main","main"
"createKafkaProducer","literal wrapper"
"main","main"
"createKafkaConsumer","literal wrapper"
"createKafkaProducer","literal wrapper"
"of","literal"
"createKafkaConsumer","literal wrapper"
"createKafkaProducer","literal wrapper"
"createKafkaProducer","literal wrapper"
"main","main"
"transformXMLUsingXSLT","literal wrapper"
"transformXMLWithParametersAndOption","wrapper"
"transformXMLUsingTemplate","literal wrapper"
"wordCount","literal wrapper"
"isStopWord","literal wrapper"
"trim","property wrapper"
"getClassSchema","literal"
"getClassSchema","literal"
"getDecoder","literal"
"createDecoder","literal"
"fromByteBuffer","literal wrapper"
"newBuilder","literal"
"newBuilder","literal"
"newBuilder","literal"
"getClassSchema","literal"
"getDecoder","literal"
"createDecoder","literal"
"fromByteBuffer","literal wrapper"
"newBuilder","literal"
"newBuilder","literal"
"newBuilder","literal"
"getClassSchema","literal"
